guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
722,1,Wall,1,ARC,Wall_722,,,rewritten,,,245.0,,[324],,,"['26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '1']",
723,1,Wall,1,ARC,Wall_723,,,rewritten,,,245.0,,[324],,,"['26kn7MqLL9oOOTivXpgF_a', '0x8tDwgKz4rBhuBSTQ03Vh', '0']",
724,1,Wall,1,ARC,Wall_724,,,face,,,6.0,,[334],,,"['0fo82U50nDWhMj5k9OCN$b', '0x8tDwgKz4rBhuBSTQ0377', '0']",
725,3,Ceiling,1,ARC,Ceiling_725,,,face,,,168.0,,[315],,,"['1T7BPQ_hn69uk5$Jp8cvG7', '0x8tDwgKz4rBhuBSTQ03VU', '0']",
726,1,Wall,1,ARC,Wall_726,,,face,,,11.0,,[291],,,"['2phb4LYfH6ERu7VkkEK4hM', '0x8tDwgKz4rBhuBSTQ03S$', '0']",
727,2,Floor,1,ARC,Floor_727,,,face,,,13.0,,[303],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VF', '0']",
728,1,Wall,1,ARC,Wall_728,,,face,,,107.0,,[328],,,"['26kn7MqLL9oOOTivXpgDXu', '0x8tDwgKz4rBhuBSTQ03Vm', '0']",
729,1,Wall,1,ARC,Wall_729,,,face,,,18.0,,[296],,,"['26kn7MqLL9oOOTivXpg95E', '0x8tDwgKz4rBhuBSTQ03V4', '0']",
730,2,Floor,1,ARC,Floor_730,,,face,,,13.0,,[319],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VZ', '0']",
731,1,Wall,1,ARC,Wall_731,,,face,,,85.0,,[315],,,"['26kn7MqLL9oOOTivXpg2U5', '0x8tDwgKz4rBhuBSTQ03VU', '0']",
732,1,Wall,1,ARC,Wall_732,,,face,,,53.0,,[308],,,"['26kn7MqLL9oOOTivXpgCas', '0x8tDwgKz4rBhuBSTQ03VM', '0']",
733,2,Floor,1,ARC,Floor_733,,,face,,,13.0,,[302],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VE', '0']",
734,2,Floor,1,ARC,Floor_734,,,face,,,13.0,,[293],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03V1', '0']",
735,2,Floor,1,ARC,Floor_735,,,face,,,13.0,,[312],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VR', '0']",
736,2,Floor,1,ARC,Floor_736,,,face,,,13.0,,[8],,,"['0a$DTcOc10$eWx3Py5JFns', '2Vw5Ga4Dz31wA6t7ociBOo', '0']",
737,3,Ceiling,1,ARC,Ceiling_737,,,face,,,198.0,,[329],,,"['1T7BPQ_hn69uk5$Jp8cv9S', '0x8tDwgKz4rBhuBSTQ03Vn', '0']",
738,1,Wall,1,ARC,Wall_738,,,face,,,52.0,,[317],,,"['26kn7MqLL9oOOTivXpgFz3', '0x8tDwgKz4rBhuBSTQ03VX', '0']",
739,1,Wall,1,ARC,Wall_739,,,face,,,113.0,,[2],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEJF', '0']",
740,1,Wall,1,ARC,Wall_740,,,face,,,150.0,,[323],,,"['2VuhFQabH3JOql_RiqfURw', '0x8tDwgKz4rBhuBSTQ03Vg', '0']",
741,3,Ceiling,1,ARC,Ceiling_741,,,face,,,204.0,,[314],,,"['1T7BPQ_hn69uk5$Jp8cvAC', '0x8tDwgKz4rBhuBSTQ03VT', '0']",
742,1,Wall,1,ARC,Wall_742,,,face,,,129.0,,[0],,,"['26kn7MqLL9oOOTivXpgDDc', '3ieRYLDdzA7A223TPufEJK', '0']",
743,1,Wall,1,ARC,Wall_743,,,rewritten,,,6.0,,[290],,,"['0fo82U50nDWhMj5k9OCN$b', '0x8tDwgKz4rBhuBSTQ03S_', '1']",
744,1,Wall,1,ARC,Wall_744,,,rewritten,,,6.0,,[290],,,"['0fo82U50nDWhMj5k9OCN$b', '0x8tDwgKz4rBhuBSTQ03S_', '0']",
745,3,Ceiling,1,ARC,Ceiling_745,,,face,,,156.0,,[289],,,"['1T7BPQ_hn69uk5$Jp8cvI5', '0x8tDwgKz4rBhuBSTQ03Sz', '0']",
746,1,Wall,1,ARC,Wall_746,,,rewritten,,,113.0,,[3],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '0']",
747,1,Wall,1,ARC,Wall_747,,,rewritten,,,113.0,,[3],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '1']",
748,1,Wall,1,ARC,Wall_748,,,rewritten,,,113.0,,[3],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '2']",
749,1,Wall,1,ARC,Wall_749,,,rewritten,,,113.0,,[3],,,"['26kn7MqLL9oOOTivXpgCW4', '3ieRYLDdzA7A223TPufEIC', '3']",
750,1,Wall,1,ARC,Wall_750,,,face,,,128.0,,[336],,,"['34s_9XZVj4dvcc98NZ_yV0', '34s_9XZVj4dvcc98NZ_zWR', '0']",
751,1,Wall,1,ARC,Wall_751,,,face,,,99.0,,[339],,,"['2VuhFQabH3JOql_RiqfUVl', '3ieRYLDdzA7A223TPufEMy', '0']",
752,3,Ceiling,1,ARC,Ceiling_752,,,face,,,148.0,,[311],,,"['1T7BPQ_hn69uk5$Jp8cvJK', '0x8tDwgKz4rBhuBSTQ03VQ', '0']",
753,2,Floor,1,ARC,Floor_753,,,face,,,13.0,,[301],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VD', '0']",
754,1,Wall,1,ARC,Wall_754,,,rewritten,,,129.0,,[313],,,"['26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03VS', '2']",
755,1,Wall,1,ARC,Wall_755,,,rewritten,,,129.0,,[313],,,"['26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03VS', '1']",
756,1,Wall,1,ARC,Wall_756,,,rewritten,,,129.0,,[313],,,"['26kn7MqLL9oOOTivXpgDDc', '0x8tDwgKz4rBhuBSTQ03VS', '0']",
757,2,Floor,1,ARC,Floor_757,,,face,,,13.0,,[317],,,"['0a$DTcOc10$eWx3Py5JFns', '0x8tDwgKz4rBhuBSTQ03VX', '0']",
758,1,Wall,1,ARC,Wall_758,,,face,,,245.0,,[337],,,"['26kn7MqLL9oOOTivXpgF_a', '34s_9XZVj4dvcc98NZ_zXW', '0']",
