guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
128,1,Wall,1,ARC,Wall_128,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUSN,,,,"[345, 7, 346]",,,2VuhFQabH3JOql_RiqfUSN,
129,5,Window,1,ARC,Window_129,occ_brep,,element,1XD1GHfzD6cunMzxtqLlTc,,,,[340],,,1XD1GHfzD6cunMzxtqLlTc,
130,5,Window,1,ARC,Window_130,occ_brep,,element,1XD1GHfzD6cunMzxtqLij9,,,,[318],,,1XD1GHfzD6cunMzxtqLij9,
131,5,Window,1,ARC,Window_131,occ_brep,,element,1XD1GHfzD6cunMzxtqLlP0,,,,[340],,,1XD1GHfzD6cunMzxtqLlP0,
132,5,Window,1,ARC,Window_132,occ_brep,,element,1XD1GHfzD6cunMzxtqLihH,,,,[3],,,1XD1GHfzD6cunMzxtqLihH,
133,1,Wall,1,ARC,Wall_133,occ_brep,,rewritten,34s_9XZVj4dvcc98NZ_yV0,,,,"[357, 356]",,,34s_9XZVj4dvcc98NZ_yV0,
134,4,Door,1,ARC,Door_134,occ_brep,,element,0x8tDwgKz4rBhuBSTQ033h,,,,"[353, 354]",,,0x8tDwgKz4rBhuBSTQ033h,
135,5,Window,1,ARC,Window_135,occ_brep,,element,1XD1GHfzD6cunMzxtqLlan,,,,[345],,,1XD1GHfzD6cunMzxtqLlan,
136,5,Window,1,ARC,Window_136,occ_brep,,element,1XD1GHfzD6cunMzxtqLlZL,,,,[346],,,1XD1GHfzD6cunMzxtqLlZL,
137,1,Wall,1,ARC,Wall_137,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDDc,,,,"[348, 8, 333, 332, 349, 347]",,,26kn7MqLL9oOOTivXpgDDc,
138,5,Window,1,ARC,Window_138,occ_brep,,element,1XD1GHfzD6cunMzxtqLlYT,,,,[339],,,1XD1GHfzD6cunMzxtqLlYT,
139,4,Door,1,ARC,Door_139,occ_brep,,element,34s_9XZVj4dvcc98NZ_zh$,,,,"[344, 343]",,,34s_9XZVj4dvcc98NZ_zh$,
140,4,Door,1,ARC,Door_140,occ_brep,,element,34s_9XZVj4dvcc98NZ_zgh,,,,"[4, 344]",,,34s_9XZVj4dvcc98NZ_zgh,
141,4,Door,1,ARC,Door_141,occ_brep,,element,34s_9XZVj4dvcc98NZ_zjF,,,,"[7, 346]",,,34s_9XZVj4dvcc98NZ_zjF,
142,4,Door,1,ARC,Door_142,occ_brep,,element,34s_9XZVj4dvcc98NZ_zlt,,,,"[345, 7]",,,34s_9XZVj4dvcc98NZ_zlt,
143,5,Window,1,ARC,Window_143,occ_brep,,element,1XD1GHfzD6cunMzxtqLlPu,,,,[340],,,1XD1GHfzD6cunMzxtqLlPu,
144,5,Window,1,ARC,Window_144,occ_brep,,element,39AcnEtunBZuCxNSP5Zgns,,,,[331],,,39AcnEtunBZuCxNSP5Zgns,
145,5,Window,1,ARC,Window_145,occ_brep,,element,1XD1GHfzD6cunMzxtqLlOG,,,,[342],,,1XD1GHfzD6cunMzxtqLlOG,
146,5,Window,1,ARC,Window_146,occ_brep,,element,1XD1GHfzD6cunMzxtqLldA,,,,[4],,,1XD1GHfzD6cunMzxtqLldA,
147,5,Window,1,ARC,Window_147,occ_brep,,element,39AcnEtunBZuCxNSP5ZhFa,,,,[354],,,39AcnEtunBZuCxNSP5ZhFa,
148,5,Window,1,ARC,Window_148,occ_brep,,element,1XD1GHfzD6cunMzxtqLlnG,,,,[333],,,1XD1GHfzD6cunMzxtqLlnG,
149,5,Window,1,ARC,Window_149,occ_brep,,element,39AcnEtunBZuCxNSP5ZhHw,,,,[327],,,39AcnEtunBZuCxNSP5ZhHw,
150,1,Wall,1,ARC,Wall_150,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfURw,,,,"[7, 343, 2, 4, 344, 346]",,,2VuhFQabH3JOql_RiqfURw,
151,5,Window,1,ARC,Window_151,occ_brep,,element,1XD1GHfzD6cunMzxtqLldk,,,,[343],,,1XD1GHfzD6cunMzxtqLldk,
152,3,Ceiling,1,ARC,Ceiling_152,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvJi,,,,[328],,,1T7BPQ_hn69uk5$Jp8cvJi,
153,5,Window,1,ARC,Window_153,occ_brep,,element,39AcnEtunBZuCxNSP5ZhGQ,,,,[0],,,39AcnEtunBZuCxNSP5ZhGQ,
154,3,Ceiling,1,ARC,Ceiling_154,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvJK,,,,[331],,,1T7BPQ_hn69uk5$Jp8cvJK,
155,3,Ceiling,1,ARC,Ceiling_155,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvJS,,,,[355],,,1T7BPQ_hn69uk5$Jp8cvJS,
156,5,Window,1,ARC,Window_156,occ_brep,,element,1XD1GHfzD6cunMzxtqLiBV,,,,[330],,,1XD1GHfzD6cunMzxtqLiBV,
157,3,Ceiling,1,ARC,Ceiling_157,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvJ4,,,,[6],,,1T7BPQ_hn69uk5$Jp8cvJ4,
158,3,Ceiling,1,ARC,Ceiling_158,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvIj,,,,[310],,,1T7BPQ_hn69uk5$Jp8cvIj,
159,3,Ceiling,1,ARC,Ceiling_159,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvIL,,,,[354],,,1T7BPQ_hn69uk5$Jp8cvIL,
160,3,Ceiling,1,ARC,Ceiling_160,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvIT,,,,[308],,,1T7BPQ_hn69uk5$Jp8cvIT,
161,3,Ceiling,1,ARC,Ceiling_161,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvI5,,,,[309],,,1T7BPQ_hn69uk5$Jp8cvI5,
162,3,Ceiling,1,ARC,Ceiling_162,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHr,,,,[312],,,1T7BPQ_hn69uk5$Jp8cvHr,
163,3,Ceiling,1,ARC,Ceiling_163,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvID,,,,[311],,,1T7BPQ_hn69uk5$Jp8cvID,
164,3,Ceiling,1,ARC,Ceiling_164,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHz,,,,[313],,,1T7BPQ_hn69uk5$Jp8cvHz,
165,3,Ceiling,1,ARC,Ceiling_165,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHb,,,,[314],,,1T7BPQ_hn69uk5$Jp8cvHb,
166,3,Ceiling,1,ARC,Ceiling_166,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHj,,,,[314],,,1T7BPQ_hn69uk5$Jp8cvHj,
167,3,Ceiling,1,ARC,Ceiling_167,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvIm,,,,"[310, 352, 353, 308]",,,1T7BPQ_hn69uk5$Jp8cvIm,
168,3,Ceiling,1,ARC,Ceiling_168,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHM,,,,[315],,,1T7BPQ_hn69uk5$Jp8cvHM,
169,3,Ceiling,1,ARC,Ceiling_169,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHU,,,,[316],,,1T7BPQ_hn69uk5$Jp8cvHU,
170,3,Ceiling,1,ARC,Ceiling_170,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvH6,,,,[317],,,1T7BPQ_hn69uk5$Jp8cvH6,
171,3,Ceiling,1,ARC,Ceiling_171,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvGo,,,,[318],,,1T7BPQ_hn69uk5$Jp8cvGo,
172,3,Ceiling,1,ARC,Ceiling_172,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvHE,,,,"[5, 358]",,,1T7BPQ_hn69uk5$Jp8cvHE,
173,3,Ceiling,1,ARC,Ceiling_173,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvGw,,,,[319],,,1T7BPQ_hn69uk5$Jp8cvGw,
174,3,Ceiling,1,ARC,Ceiling_174,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvGV,,,,[336],,,1T7BPQ_hn69uk5$Jp8cvGV,
175,1,Wall,1,ARC,Wall_175,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbLY,,,,"[358, 310, 308, 316, 314, 6, 312, 311, 315, 309, 317, 352, 313, 5]",,,3P6tvjgV9AA81fRmsqfbLY,
176,3,Ceiling,1,ARC,Ceiling_176,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvGY,,,,[9],,,1T7BPQ_hn69uk5$Jp8cvGY,
177,3,Ceiling,1,ARC,Ceiling_177,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvG7,,,,[335],,,1T7BPQ_hn69uk5$Jp8cvG7,
178,3,Ceiling,1,ARC,Ceiling_178,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvGF,,,,[3],,,1T7BPQ_hn69uk5$Jp8cvGF,
179,3,Ceiling,1,ARC,Ceiling_179,occ_brep,,rewritten,1T7BPQ_hn69uk5$Jp8cvNt,,,,[338],,,1T7BPQ_hn69uk5$Jp8cvNt,
